2theta,intensity
20.05857242,74
20.07883751,69
20.0991026,49
20.11936769,64
20.13963277,69
20.15989786,70
20.18016295,61
20.20042804,81
20.22069313,66
20.24095822,88
20.26122331,74
20.28148839,79
20.30175348,89
20.32201857,80
20.34228366,68
20.36254875,84
20.38281384,94
20.40307893,109
20.42334402,108
20.4436091,131
20.46387419,146
20.48413928,165
20.50440437,153
20.52466946,134
20.54493455,115
20.56519964,110
20.58546473,92
20.60572981,76
20.6259949,83
20.64625999,74
20.66652508,78
20.68679017,73
20.70705526,55
20.72732035,62
20.74758543,53
20.76785052,59
20.78811561,52
20.8083807,71
20.82864579,58
20.84891088,52
20.86917597,58
20.88944106,60
20.90970614,51
20.92997123,50
20.95023632,53
20.97050141,56
20.9907665,70
21.01103159,43
21.03129668,61
21.05156177,63
21.07182685,61
21.09209194,56
21.11235703,44
21.13262212,59
21.15288721,60
21.1731523,44
21.19341739,57
21.21368248,53
21.23394756,48
21.25421265,71
21.27447774,47
21.29474283,50
21.31500792,46
21.33527301,51
21.3555381,39
21.37580318,51
21.39606827,56
21.41633336,64
21.43659845,61
21.45686354,55
21.47712863,62
21.49739372,53
21.51765881,43
21.53792389,42
21.55818898,53
21.57845407,62
21.59871916,56
21.61898425,52
21.63924934,45
21.65951443,53
21.67977952,62
21.7000446,40
21.72030969,52
21.74057478,55
21.76083987,55
21.78110496,57
21.80137005,62
21.82163514,65
21.84190022,67
21.86216531,72
21.8824304,81
21.90269549,83
21.92296058,90
21.94322567,129
21.96349076,89
21.98375585,100
22.00402093,104
22.02428602,94
22.04455111,95
22.0648162,96
22.08508129,88
22.10534638,48
22.12561147,54
22.14587656,49
22.16614164,58
22.18640673,49
22.20667182,44
22.22693691,49
22.247202,50
22.26746709,49
22.28773218,41
22.30799726,44
22.32826235,30
22.34852744,40
22.36879253,60
22.38905762,52
22.40932271,45
22.4295878,43
22.44985289,43
22.47011797,29
22.49038306,43
22.51064815,44
22.53091324,50
22.55117833,62
22.57144342,50
22.59170851,44
22.6119736,39
22.63223868,53
22.65250377,44
22.67276886,49
22.69303395,47
22.71329904,56
22.73356413,35
22.75382922,34
22.7740943,34
22.79435939,44
22.81462448,59
22.83488957,52
22.85515466,49
22.87541975,44
22.89568484,46
22.91594993,45
22.93621501,55
22.9564801,43
22.97674519,47
22.99701028,46
23.01727537,49
23.03754046,49
23.05780555,46
23.07807064,41
23.09833572,42
23.11860081,47
23.1388659,44
23.15913099,47
23.17939608,53
23.19966117,45
23.21992626,49
23.24019135,50
23.26045643,57
23.28072152,37
23.30098661,43
23.3212517,53
23.34151679,49
23.36178188,56
23.38204697,49
23.40231205,50
23.42257714,54
23.44284223,37
23.46310732,37
23.48337241,55
23.5036375,57
23.52390259,52
23.54416768,47
23.56443276,53
23.58469785,42
23.60496294,45
23.62522803,46
23.64549312,42
23.66575821,55
23.6860233,57
23.70628839,44
23.72655347,42
23.74681856,55
23.76708365,55
23.78734874,53
23.80761383,40
23.82787892,61
23.84814401,66
23.86840909,58
23.88867418,40
23.90893927,42
23.92920436,49
23.94946945,54
23.96973454,58
23.98999963,52
24.01026472,57
24.0305298,59
24.05079489,46
24.07105998,58
24.09132507,49
24.11159016,44
24.13185525,49
24.15212034,58
24.17238543,48
24.19265051,51
24.2129156,42
