2theta,Intensity 
44.315884,35
44.336149,32
44.356414,39
44.376679,44
44.396944,37
44.417209,39
44.437474,43
44.457739,54
44.478004,57
44.498269,49
44.518534,38
44.5388,54
44.559065,52
44.57933,64
44.599595,45
44.61986,59
44.640125,48
44.66039,49
44.680655,51
44.70092,51
44.721185,40
44.74145,32
44.761716,33
44.781981,47
44.802246,34
44.822511,36
44.842776,31
44.863041,33
44.883306,36
44.903571,39
44.923836,41
44.944101,37
44.964366,39
44.984632,39
45.004897,29
45.025162,35
45.045427,36
45.065692,35
45.085957,34
45.106222,36
45.126487,45
45.146752,33
45.167017,26
45.187282,31
45.207547,48
45.227813,31
45.248078,37
45.268343,41
45.288608,34
45.308873,40
45.329138,32
45.349403,41
45.369668,40
45.389933,42
45.410198,36
45.430463,33
45.450729,32
45.470994,34
45.491259,40
45.511524,35
45.531789,29
45.552054,45
45.572319,27
45.592584,31
45.612849,32
45.633114,35
45.653379,30
45.673645,33
45.69391,35
45.714175,32
45.73444,35
45.754705,31
45.77497,34
45.795235,34
45.8155,37
45.835765,34
45.85603,34
45.876295,31
45.896561,34
45.916826,37
45.937091,35
45.957356,39
45.977621,38
45.997886,26
46.018151,24
46.038416,47
46.058681,31
46.078946,30
46.099211,38
46.119476,38
46.139742,37
46.160007,30
46.180272,42
46.200537,32
46.220802,40
46.241067,41
46.261332,39
46.281597,37
46.301862,24
46.322127,30
46.342392,34
46.362658,41
46.382923,31
46.403188,48
46.423453,34
46.443718,37
46.463983,37
46.484248,36
46.504513,35
46.524778,34
46.545043,38
46.565308,32
46.585574,38
46.605839,41
46.626104,31
46.646369,31
46.666634,40
46.686899,33
46.707164,29
46.727429,33
46.747694,35
46.767959,38
46.788224,39
46.80849,43
46.828755,31
46.84902,40
46.869285,37
46.88955,38
46.909815,44
46.93008,46
46.950345,41
46.97061,39
46.990875,28
47.01114,32
47.031405,34
47.051671,31
47.071936,38
47.092201,42
47.112466,37
47.132731,33
47.152996,35
47.173261,30
47.193526,31
47.213791,42
47.234056,40
47.254321,34
47.274587,40
47.294852,42
47.315117,37
47.335382,34
47.355647,39
47.375912,35
47.396177,37
47.416442,37
47.436707,37
47.456972,39
47.477237,40
47.497503,41
47.517768,44
47.538033,37
47.558298,39
47.578563,44
47.598828,34
47.619093,42
47.639358,43
47.659623,49
47.679888,37
47.700153,42
47.720418,40
47.740684,33
47.760949,43
47.781214,36
47.801479,40
47.821744,43
47.842009,53
47.862274,55
47.882539,37
47.902804,41
47.923069,47
47.943334,42
47.9636,47
47.983865,38
48.00413,52
48.024395,44
48.04466,44
48.064925,38
48.08519,47
48.105455,41
48.12572,45
48.145985,53
48.16625,48
48.186516,54
48.206781,46
48.227046,40
48.247311,52
48.267576,44
48.287841,39
48.308106,45
48.328371,50
48.348636,62
48.368901,49
48.389166,65
48.409432,41
48.429697,53
48.449962,48
48.470227,65
48.490492,61
48.510757,56
48.531022,54
48.551287,61
48.571552,77
48.591817,62
48.612082,69
48.632347,68
48.652613,86
48.672878,66
48.693143,61
48.713408,59
48.733673,60
48.753938,73
48.774203,46
48.794468,56
48.814733,59
48.834998,60
48.855263,67
48.875529,67
48.895794,70
48.916059,72
48.936324,57
48.956589,88
48.976854,82
48.997119,77
49.017384,103
49.037649,74
49.057914,94
49.078179,95
49.098445,96
49.11871,106
49.138975,110
49.15924,126
49.179505,125
49.19977,143
49.220035,152
49.2403,158
49.260565,166
49.28083,195
49.301095,203
49.321361,237
49.341626,264
49.361891,278
49.382156,313
49.402421,351
49.422686,402
49.442951,496
49.463216,596
49.483481,713
49.503746,836
49.524011,988
49.544276,1216
49.564542,1448
49.584807,1408
49.605072,1365
49.625337,1281
49.645602,1292
49.665867,1170
49.686132,1028
49.706397,964
49.726662,896
49.746927,796
49.767192,665
49.787458,576
49.807723,438
49.827988,398
49.848253,313
49.868518,283
49.888783,280
49.909048,211
49.929313,195
49.949578,175
49.969843,191
49.990108,134
50.010374,129
50.030639,116
50.050904,119
50.071169,128
50.091434,83
50.111699,100
50.131964,98
50.152229,86
50.172494,88
50.192759,84
50.213024,70
50.233289,80
50.253555,82
50.27382,72
50.294085,67
50.31435,75
50.334615,55
50.35488,67
50.375145,56
50.39541,63
50.415675,70
50.43594,72
50.456205,56
50.476471,54
50.496736,42
50.517001,70
50.537266,51
50.557531,62
50.577796,49
50.598061,55
50.618326,57
50.638591,55
50.658856,42
50.679121,50
50.699387,70
50.719652,54
50.739917,48
50.760182,48
50.780447,50
50.800712,49
50.820977,33
50.841242,34
50.861507,39
50.881772,49
50.902037,49
50.922303,50
50.942568,48
50.962833,52
50.983098,37
51.003363,44
51.023628,56
51.043893,57
51.064158,54
51.084423,29
51.104688,45
51.124953,34
51.145218,33
51.165484,38
51.185749,47
51.206014,58
51.226279,39
51.246544,44
51.266809,65
51.287074,44
51.307339,40
51.327604,41
51.347869,50
51.368134,52
51.3884,53
51.408665,38
51.42893,36
51.449195,48
51.46946,38
51.489725,46
51.50999,35
51.530255,51
51.55052,52
51.570785,51
51.59105,45
51.611316,56
51.631581,51
51.651846,52
51.672111,50
51.692376,68
51.712641,56
51.732906,41
51.753171,52
51.773436,56
51.793701,53
51.813966,57
51.834232,40
51.854497,40
51.874762,44
51.895027,35
51.915292,43
51.935557,52
51.955822,48
51.976087,44
51.996352,50
52.016617,52
52.036882,44
52.057147,36
52.077413,40
52.097678,44
52.117943,53
52.138208,40
52.158473,38
52.178738,45
52.199003,36
52.219268,38
52.239533,38
52.259798,44
52.280063,47
52.300329,51
52.320594,57
52.340859,53
52.361124,62
52.381389,48
52.401654,45
52.421919,44
52.442184,53
52.462449,46
52.482714,51
52.502979,40
52.523245,40
52.54351,55
52.563775,69
52.58404,45
52.604305,38
52.62457,54
52.644835,47
52.6651,50
52.685365,59
52.70563,41
52.725895,51
52.74616,46
52.766426,65
52.786691,45
52.806956,35
52.827221,46
52.847486,52
52.867751,42
52.888016,53
52.908281,51
52.928546,50
52.948811,64
52.969076,55
52.989342,65
53.009607,59
53.029872,54
53.050137,57
53.070402,58
53.090667,49
53.110932,62
53.131197,58
53.151462,50
53.171727,48
53.191992,56
53.212258,52
53.232523,58
53.252788,67
53.273053,53
53.293318,64
53.313583,65
53.333848,62
53.354113,72
53.374378,53
53.394643,75
53.414908,62
53.435174,64
53.455439,73
53.475704,96
53.495969,65
53.516234,57
53.536499,85
53.556764,68
53.577029,89
53.597294,96
53.617559,103
53.637824,95
53.658089,104
53.678355,95
53.69862,98
53.718885,136
53.73915,108
53.759415,147
53.77968,139
53.799945,158
53.82021,164
53.840475,204
53.86074,221
53.881005,255
53.901271,228
53.921536,267
53.941801,326
53.962066,343
53.982331,386
54.002596,431
54.022861,559
54.043126,616
54.063391,759
54.083656,917
54.103921,1135
54.124187,1342
54.144452,1576
54.164717,1736
54.184982,1831
54.205247,1762
54.225512,1624
54.245777,1485
54.266042,1343
54.286307,1266
54.306572,1235
54.326837,1104
54.347102,1087
54.367368,915
54.387633,737
54.407898,615
54.428163,484
54.448428,405
54.468693,372
54.488958,316
54.509223,283
54.529488,239
54.549753,192
54.570018,169
54.590284,181
54.610549,164
54.630814,156
54.651079,110
54.671344,117
54.691609,109
54.711874,96
